               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  66,            0.059963,            0.032917,          0.00075047,             0.77958,             0.65056,             0.65574,             0.45784,            0.048683,            0.029702,          0.00097366,           0.0089972,           0.0089972,           0.0089972
                  67,            0.061021,            0.034527,          0.00071115,             0.73579,             0.65166,             0.65464,             0.45803,            0.048491,            0.029694,          0.00095822,           0.0089673,           0.0089673,           0.0089673
                  68,            0.060636,            0.033598,          0.00068913,             0.76792,             0.65082,             0.65556,             0.46209,            0.048293,            0.029499,           0.0010245,           0.0089371,           0.0089371,           0.0089371
                  69,            0.060873,            0.032785,          0.00074656,             0.73906,             0.65136,             0.65655,             0.46178,            0.048104,            0.029406,          0.00095454,           0.0089065,           0.0089065,           0.0089065
                  70,            0.060351,            0.032658,          0.00071089,             0.75533,             0.64959,             0.65349,             0.46004,            0.048448,            0.029663,           0.0009853,           0.0088755,           0.0088755,           0.0088755
                  71,            0.060986,             0.03436,          0.00076019,              0.7637,             0.65283,             0.65482,              0.4607,             0.04823,            0.029463,          0.00093737,           0.0088442,           0.0088442,           0.0088442
                  72,            0.059977,            0.033832,          0.00071678,             0.74562,             0.65209,             0.65673,             0.46278,            0.048196,            0.029655,           0.0009801,           0.0088124,           0.0088124,           0.0088124
                  73,            0.060668,            0.033308,          0.00071665,              0.7393,             0.65394,             0.65718,              0.4617,            0.048301,            0.029482,          0.00094664,           0.0087804,           0.0087804,           0.0087804
                  74,            0.060199,            0.032725,          0.00071126,             0.74935,             0.65363,             0.65756,             0.46235,            0.048046,            0.029332,          0.00096173,           0.0087479,           0.0087479,           0.0087479
                  75,            0.059977,            0.033377,          0.00073886,             0.73571,             0.65208,             0.65456,             0.46173,             0.04816,            0.029408,           0.0009749,           0.0087151,           0.0087151,           0.0087151
                  76,            0.060024,             0.03323,          0.00068741,             0.75537,             0.65076,             0.65665,             0.46503,            0.047949,            0.029251,          0.00095071,            0.008682,            0.008682,            0.008682
                  77,            0.060557,            0.033946,          0.00065283,             0.81068,              0.6506,              0.6562,             0.46473,            0.047919,            0.029306,           0.0010039,           0.0086485,           0.0086485,           0.0086485
                  78,            0.061101,            0.035164,          0.00073485,             0.71742,             0.65507,             0.65681,             0.46413,            0.047853,            0.029368,          0.00093343,           0.0086146,           0.0086146,           0.0086146
                  79,            0.058824,            0.031391,          0.00070271,             0.77714,             0.65179,             0.65672,             0.46382,            0.047807,             0.02938,           0.0009227,           0.0085805,           0.0085805,           0.0085805
                  80,            0.060106,             0.03241,          0.00070252,             0.75705,             0.65317,              0.6584,             0.46629,            0.047786,            0.029333,          0.00097082,           0.0085459,           0.0085459,           0.0085459
                  81,            0.060242,              0.0332,          0.00072115,             0.74267,             0.65381,             0.65725,              0.4649,            0.047731,             0.02934,          0.00093382,           0.0085111,           0.0085111,           0.0085111
                  82,            0.060293,            0.032065,          0.00067699,             0.74894,             0.65312,             0.65697,              0.4648,             0.04781,            0.029409,          0.00096716,           0.0084759,           0.0084759,           0.0084759
                  83,            0.061241,            0.034252,          0.00075655,              0.7582,             0.65287,             0.65754,             0.46489,            0.047807,             0.02928,          0.00096543,           0.0084404,           0.0084404,           0.0084404
                  84,            0.060223,            0.033626,          0.00069414,             0.73365,             0.65393,             0.65732,             0.46554,              0.0477,            0.029314,          0.00091448,           0.0084046,           0.0084046,           0.0084046
                  85,            0.060859,            0.035227,          0.00065544,             0.74995,             0.65388,             0.65836,              0.4665,            0.047597,             0.02929,          0.00088241,           0.0083684,           0.0083684,           0.0083684
                  86,            0.060892,            0.034117,          0.00070995,             0.77612,             0.65238,              0.6574,             0.46571,            0.047668,            0.029317,          0.00090681,           0.0083319,           0.0083319,           0.0083319
                  87,            0.059255,            0.033311,          0.00072095,             0.73674,             0.65412,              0.6579,             0.46495,            0.047583,            0.029357,          0.00096096,           0.0082952,           0.0082952,           0.0082952
                  88,            0.058522,             0.03186,          0.00064045,              0.7236,             0.65323,             0.65712,             0.46669,            0.047644,             0.02921,          0.00095324,           0.0082581,           0.0082581,           0.0082581
                  89,             0.06121,             0.03415,          0.00068726,             0.75037,             0.65552,             0.65972,             0.46695,            0.047472,            0.029159,          0.00089572,           0.0082207,           0.0082207,           0.0082207
                  90,            0.059337,            0.033025,          0.00068998,             0.77609,             0.65559,              0.6593,             0.46685,            0.047504,            0.029151,          0.00089019,            0.008183,            0.008183,            0.008183
                  91,            0.059272,            0.032501,          0.00069701,             0.75398,             0.65548,             0.65816,             0.46689,            0.047529,            0.029197,          0.00094601,            0.008145,            0.008145,            0.008145
                  92,            0.059959,            0.033635,            0.000739,             0.74671,             0.65601,             0.65803,             0.46692,            0.047421,            0.029189,          0.00099998,           0.0081068,           0.0081068,           0.0081068
                  93,            0.058821,            0.033397,          0.00068464,             0.75524,             0.65392,             0.65937,             0.46885,             0.04743,              0.0292,          0.00088469,           0.0080682,           0.0080682,           0.0080682
                  94,             0.05986,            0.034424,          0.00065194,             0.76586,             0.65395,             0.65972,              0.4677,            0.047341,            0.029166,          0.00093708,           0.0080294,           0.0080294,           0.0080294
                  95,            0.059804,            0.034155,           0.0007015,             0.82122,             0.65431,             0.65962,             0.46934,            0.047279,            0.029076,          0.00087884,           0.0079903,           0.0079903,           0.0079903
                  96,            0.060039,            0.034817,          0.00063652,             0.74934,             0.65702,             0.65966,             0.46977,            0.047218,            0.029007,          0.00085062,           0.0079509,           0.0079509,           0.0079509
                  97,            0.060669,            0.034596,          0.00062511,             0.76124,             0.65366,              0.6585,              0.4687,             0.04733,            0.029077,          0.00085231,           0.0079112,           0.0079112,           0.0079112
                  98,            0.059892,            0.033163,          0.00060525,             0.75454,             0.65473,             0.65917,             0.46849,            0.047293,             0.02909,          0.00086255,           0.0078713,           0.0078713,           0.0078713
                  99,            0.060074,            0.033754,          0.00065737,             0.76722,              0.6557,              0.6597,             0.46844,            0.047267,             0.02912,          0.00086744,           0.0078311,           0.0078311,           0.0078311
                 100,            0.059535,            0.033148,           0.0006262,             0.80802,             0.65572,             0.66105,             0.47008,             0.04725,            0.029147,          0.00084612,           0.0077907,           0.0077907,           0.0077907
                 101,            0.058754,            0.032217,          0.00060633,               0.794,             0.65522,             0.66009,             0.46976,            0.047257,            0.029193,           0.0008785,             0.00775,             0.00775,             0.00775
                 102,            0.060636,            0.034507,          0.00060966,             0.76576,             0.65779,             0.66159,              0.4712,            0.047164,            0.029041,          0.00087419,           0.0077091,           0.0077091,           0.0077091
                 103,            0.059581,            0.033491,          0.00060789,             0.77119,             0.65638,             0.66102,             0.47083,            0.047115,            0.029048,          0.00087478,           0.0076679,           0.0076679,           0.0076679
                 104,            0.057775,             0.03267,          0.00065211,             0.75414,             0.65621,             0.65963,             0.47055,            0.047154,            0.029054,          0.00091855,           0.0076265,           0.0076265,           0.0076265
                 105,            0.058703,            0.032124,          0.00064991,               0.776,             0.65578,                0.66,             0.47035,            0.047225,            0.028966,           0.0008647,           0.0075848,           0.0075848,           0.0075848
                 106,            0.059056,            0.032767,          0.00063665,             0.77829,              0.6561,             0.66169,             0.47094,            0.047146,            0.028933,          0.00081003,            0.007543,            0.007543,            0.007543
